academic_year,semester,faculty,programme,previous_gpa,attendance_percentage,study_hours_per_week,failed_modules,assignment_completion_percentage,assessment_average_percentage,lecture_participation_percentage,tutorial_participation,lms_active,internet_access,financial_work_pressure,wellbeing_rating,semester_gpa
1,2,Computing,Computer Science,1.61,90.1,11,1,53.5,64.7,94.1,no,yes,yes,yes,4,1.47
3,2,Science,Biological Science,2.19,85.2,18,0,74.2,73.7,75.9,yes,yes,yes,no,4,2.7
1,2,Science,Biological Science,2.28,77.5,16,1,94.1,81.3,76.5,yes,yes,yes,no,2,2.51
4,2,Engineering,Engineering,3.73,85.3,11,0,82.3,95.0,93.3,yes,yes,yes,no,4,2.6
2,2,Science,Biological Science,3.65,78.2,9,0,67.0,95.0,68.3,yes,yes,yes,no,4,2.47
2,1,Management,Business Management,2.82,96.9,13,1,82.5,77.2,97.0,yes,yes,limited,yes,3,2.16
2,1,Management,Accounting,1.7,90.9,10,0,56.1,55.1,100.0,yes,yes,no,no,4,2.08
2,2,Management,Business Management,2.31,67.3,14,0,85.0,91.8,66.4,no,no,yes,no,5,2.68
1,1,Science,Biological Science,3.4,80.2,19,0,96.6,95.0,70.9,yes,yes,yes,no,4,2.79
2,2,Science,Applied Science,1.98,63.9,8,0,74.8,71.2,57.0,yes,yes,limited,no,4,1.9
4,1,Science,Applied Science,2.17,78.8,11,1,70.8,77.7,77.8,yes,yes,yes,no,3,1.94
2,2,Management,Accounting,2.73,78.7,4,0,73.3,61.1,89.8,no,yes,no,no,5,2.44
1,2,Computing,Computer Science,2.08,73.6,21,0,100.0,70.9,71.6,yes,yes,yes,no,3,3.28
4,1,Humanities,Social Sciences,2.73,64.8,13,0,99.8,78.2,52.2,yes,yes,yes,yes,4,2.72
3,2,Science,Biological Science,1.84,74.8,14,1,78.6,95.0,64.5,no,yes,yes,no,4,2.14
1,2,Engineering,Engineering,4.0,94.8,2,0,44.8,85.9,86.4,yes,yes,yes,no,5,2.26
2,1,Computing,Information Technology,2.51,78.8,12,0,62.2,84.7,69.1,yes,yes,yes,no,4,2.92
4,2,Engineering,Engineering,1.68,81.1,18,1,87.9,78.2,55.6,yes,yes,yes,no,3,1.6
1,2,Humanities,Social Sciences,3.98,87.1,16,0,93.7,95.0,91.9,no,no,limited,no,3,3.5
3,1,Computing,Information Technology,2.37,80.1,19,0,90.6,95.0,48.0,yes,yes,yes,no,3,2.5
1,1,Computing,Information Technology,3.17,79.5,6,0,63.1,91.2,71.9,yes,no,yes,no,3,2.56
2,1,Computing,Information Technology,2.04,79.7,15,0,100.0,53.0,56.8,yes,no,yes,no,4,1.97
1,1,Computing,Information Technology,2.76,81.0,14,0,95.3,95.0,56.6,yes,yes,limited,yes,5,2.0
3,1,Management,Business Management,2.1,79.2,14,0,82.4,68.0,98.8,no,yes,limited,no,3,2.92
2,1,Management,Accounting,2.88,89.6,15,0,88.5,82.2,69.3,yes,no,yes,yes,2,3.44
3,2,Science,Biological Science,1.92,83.2,13,0,83.5,95.0,88.9,no,yes,yes,no,2,2.51
3,2,Management,Accounting,1.69,86.8,14,0,97.9,88.8,94.1,yes,yes,yes,no,4,2.64
4,2,Engineering,Engineering,2.69,76.6,5,0,65.6,81.9,65.5,yes,yes,yes,no,3,1.83
4,2,Humanities,Languages,1.37,73.0,19,2,92.1,91.4,36.0,no,no,limited,yes,3,2.17
2,2,Computing,Computer Science,3.67,82.0,21,0,100.0,95.0,78.6,yes,yes,limited,no,3,3.46
1,1,Management,Business Management,2.66,85.0,12,0,88.1,60.9,88.0,no,yes,yes,yes,4,2.03
1,1,Science,Applied Science,2.76,80.7,9,0,87.2,83.6,53.0,no,no,limited,no,5,1.77
2,2,Engineering,Engineering,2.65,69.2,6,0,68.8,49.3,43.7,yes,yes,yes,no,4,1.39
3,1,Management,Accounting,2.69,67.5,14,0,84.2,95.0,55.1,yes,yes,limited,yes,3,3.33
2,1,Computing,Computer Science,3.34,90.7,8,1,83.4,95.0,63.1,no,yes,yes,no,4,2.48
3,1,Engineering,Engineering,2.63,82.3,10,1,99.8,86.0,84.3,yes,yes,limited,no,4,2.04
4,1,Engineering,Engineering,2.48,87.2,18,0,56.8,91.8,38.4,no,yes,yes,no,4,1.81
3,2,Science,Applied Science,3.55,85.9,11,1,80.2,91.9,64.6,yes,yes,yes,no,3,2.51
4,2,Computing,Information Technology,3.11,70.0,7,0,58.5,90.0,70.6,no,no,yes,no,5,1.56
3,2,Science,Biological Science,2.34,80.2,15,0,100.0,95.0,91.0,no,yes,limited,no,4,2.78
2,2,Management,Business Management,2.68,87.5,9,0,86.5,77.5,91.6,yes,yes,limited,no,4,2.65
1,2,Computing,Computer Science,2.92,78.1,10,0,83.8,90.1,80.5,yes,yes,yes,no,5,1.77
2,2,Management,Accounting,2.37,86.0,9,1,71.8,88.6,89.1,yes,yes,yes,no,5,1.76
4,2,Humanities,Languages,1.97,84.8,7,1,100.0,56.7,97.5,yes,yes,yes,no,4,2.04
4,1,Engineering,Engineering,2.01,80.2,8,2,74.6,61.1,72.4,yes,yes,yes,no,5,0.88
3,1,Computing,Information Technology,2.85,81.0,13,0,85.8,82.0,59.3,yes,yes,yes,no,5,2.02
4,1,Management,Business Management,3.07,100.0,18,1,100.0,95.0,100.0,no,no,yes,no,4,3.3
2,1,Science,Biological Science,2.37,70.0,10,0,80.9,93.3,60.6,yes,yes,limited,yes,4,2.47
3,2,Computing,Computer Science,2.51,84.0,20,1,91.8,80.8,95.6,no,yes,limited,no,3,2.51
1,1,Engineering,Engineering,2.54,73.3,2,0,73.7,70.4,80.5,no,yes,yes,no,3,2.29
4,2,Computing,Computer Science,1.62,60.1,19,0,89.1,76.4,37.1,no,yes,yes,yes,4,1.81
2,1,Engineering,Engineering,2.47,71.9,11,1,83.3,85.9,71.9,no,yes,yes,no,5,1.64
2,2,Management,Business Management,2.61,88.7,13,0,96.6,81.4,92.7,no,yes,yes,no,3,3.5
4,2,Computing,Information Technology,2.26,81.9,14,0,77.5,71.3,100.0,no,no,yes,yes,2,2.4
1,1,Engineering,Engineering,3.2,66.7,2,0,83.5,86.5,71.1,yes,no,yes,no,3,1.92
4,2,Humanities,Social Sciences,2.79,81.0,6,0,74.3,87.5,83.4,yes,yes,yes,no,4,2.93
4,1,Engineering,Engineering,1.71,77.0,2,0,86.2,57.2,75.6,yes,yes,yes,yes,4,1.48
4,1,Engineering,Engineering,2.46,90.2,12,1,73.0,90.1,93.0,no,yes,limited,no,1,2.53
1,2,Science,Biological Science,2.57,88.6,20,0,69.0,65.5,93.2,yes,no,yes,no,3,2.46
1,2,Science,Applied Science,2.54,60.2,10,3,68.4,82.1,30.2,yes,no,yes,no,3,1.57
2,2,Computing,Information Technology,2.31,88.1,6,0,80.8,95.0,80.7,no,yes,yes,no,4,2.6
1,1,Computing,Information Technology,1.79,86.5,16,0,97.9,56.2,68.6,no,no,yes,no,5,2.71
3,2,Humanities,Languages,2.89,85.1,8,0,64.6,95.0,84.0,no,yes,limited,no,2,2.14
1,1,Engineering,Engineering,2.49,90.0,21,1,93.5,85.2,96.0,yes,yes,no,yes,5,2.07
2,2,Engineering,Engineering,2.94,68.5,16,0,69.7,89.9,67.8,no,no,yes,no,3,2.65
2,1,Humanities,Languages,3.29,80.0,3,0,73.5,72.3,66.9,yes,yes,no,no,4,2.77
4,1,Science,Biological Science,2.53,91.2,4,0,65.1,69.6,94.6,yes,yes,limited,no,5,2.15
4,1,Science,Applied Science,3.78,75.8,18,0,100.0,95.0,68.2,yes,yes,yes,no,3,3.13
3,1,Science,Biological Science,2.09,80.5,15,0,67.9,83.8,74.5,yes,yes,yes,yes,4,2.1
1,2,Engineering,Engineering,3.93,84.8,11,0,77.8,88.9,75.8,no,yes,yes,no,4,3.04
2,1,Science,Biological Science,3.22,88.6,20,1,100.0,95.0,84.1,no,yes,yes,no,4,2.56
3,2,Engineering,Engineering,3.76,80.2,11,1,100.0,95.0,82.0,no,yes,yes,no,2,2.9
2,1,Engineering,Engineering,2.26,80.6,8,0,72.8,63.8,79.4,yes,no,yes,no,3,1.56
4,1,Humanities,Social Sciences,1.51,86.5,10,1,81.6,71.9,88.1,no,no,yes,no,5,2.23
2,1,Engineering,Engineering,2.19,52.3,5,2,86.9,71.9,21.6,yes,yes,limited,yes,3,1.61
4,1,Computing,Information Technology,3.33,69.7,3,1,72.3,82.5,81.1,yes,yes,yes,yes,2,1.88
4,2,Science,Applied Science,2.13,67.7,10,0,89.3,87.0,61.0,no,no,yes,no,5,2.14
2,2,Management,Accounting,2.49,67.4,15,1,87.3,67.4,47.2,no,yes,yes,no,4,2.07
1,2,Science,Biological Science,1.17,65.6,11,0,69.7,63.0,44.0,no,no,yes,no,5,1.03
1,1,Computing,Computer Science,3.22,79.6,6,0,56.9,81.2,90.8,no,no,yes,no,3,2.35
1,1,Engineering,Engineering,4.0,86.1,8,0,80.9,85.3,88.1,yes,no,limited,no,3,2.82
1,2,Science,Biological Science,2.06,93.3,13,0,86.3,78.8,91.7,no,yes,yes,no,4,2.95
4,2,Management,Accounting,1.86,87.6,9,0,77.1,87.8,80.5,no,yes,yes,yes,4,2.03
3,1,Engineering,Engineering,2.74,86.6,3,1,68.3,95.0,95.9,no,yes,limited,no,5,1.83
4,1,Management,Accounting,1.72,80.6,14,1,77.3,73.0,57.6,yes,yes,yes,no,1,1.54
2,2,Humanities,Languages,1.72,78.3,16,2,74.0,82.9,67.7,yes,no,yes,no,4,2.7
3,1,Humanities,Languages,2.75,80.8,21,0,94.5,85.3,48.5,no,no,limited,no,3,3.16
1,1,Engineering,Engineering,2.14,70.0,17,1,91.7,71.7,58.6,no,yes,yes,no,3,2.17
4,2,Science,Biological Science,2.39,69.9,16,1,84.3,95.0,71.0,yes,yes,yes,no,4,1.83
4,1,Humanities,Languages,2.23,74.2,8,0,84.5,95.0,96.4,no,yes,yes,no,3,1.97
3,1,Science,Applied Science,2.18,88.2,5,1,68.8,68.4,84.0,no,yes,yes,no,4,1.27
2,1,Science,Applied Science,1.31,84.6,16,1,100.0,87.2,60.5,yes,yes,limited,no,1,2.46
2,2,Computing,Information Technology,2.29,80.0,10,0,79.5,84.2,71.4,no,yes,limited,no,5,2.17
2,2,Engineering,Engineering,2.61,81.4,2,0,62.5,83.7,87.6,no,no,yes,no,4,2.2
2,2,Engineering,Engineering,2.31,99.2,16,2,75.6,88.9,100.0,yes,yes,yes,no,2,2.31
1,1,Science,Applied Science,1.77,68.6,16,0,89.4,65.0,59.0,yes,yes,yes,no,1,2.39
1,1,Science,Biological Science,1.91,87.9,17,0,77.5,95.0,95.2,no,yes,yes,no,4,2.7
3,1,Computing,Information Technology,1.9,68.9,8,0,85.8,95.0,81.0,no,yes,yes,no,4,1.61
4,1,Engineering,Engineering,2.76,66.6,12,0,73.6,71.6,35.7,yes,yes,yes,no,5,2.04
1,1,Management,Accounting,2.96,81.9,15,1,89.3,84.0,82.2,yes,no,yes,no,3,2.24
3,1,Science,Biological Science,1.87,66.8,10,1,93.5,74.0,47.5,yes,yes,yes,no,5,1.69
3,2,Management,Accounting,2.74,95.8,5,1,62.9,64.1,91.9,yes,yes,yes,no,2,1.42
2,1,Management,Business Management,1.67,84.7,12,1,70.7,85.2,65.2,no,yes,yes,yes,4,1.85
1,1,Computing,Information Technology,2.38,81.7,13,0,81.7,78.5,77.9,no,yes,yes,no,3,3.06
2,2,Engineering,Engineering,2.48,81.5,9,0,75.0,82.3,67.3,no,no,yes,no,4,1.99
1,2,Computing,Information Technology,2.61,85.6,13,2,76.5,89.7,83.6,yes,no,yes,no,5,1.59
3,2,Computing,Computer Science,3.51,83.1,15,0,87.2,87.1,85.1,yes,yes,limited,no,3,3.1
3,2,Humanities,Languages,2.34,80.8,2,1,75.9,68.3,77.1,no,yes,yes,no,4,2.01
3,1,Computing,Computer Science,1.92,67.0,8,0,83.0,74.9,48.5,yes,yes,yes,no,5,2.27
2,2,Computing,Information Technology,1.93,72.7,2,1,71.3,73.4,64.0,no,yes,yes,yes,3,1.46
3,1,Computing,Information Technology,1.91,82.1,10,0,80.6,49.3,66.1,no,no,limited,no,4,2.08
1,2,Engineering,Engineering,2.76,85.5,8,1,86.8,83.2,89.9,yes,no,limited,yes,4,2.65
1,2,Computing,Information Technology,3.33,76.4,10,0,70.4,91.9,76.1,yes,yes,yes,no,3,2.7
4,2,Humanities,Social Sciences,2.71,88.8,15,0,88.3,86.8,86.1,yes,no,yes,no,4,3.63
4,2,Management,Business Management,2.71,77.3,8,0,80.8,95.0,71.1,yes,yes,yes,no,4,2.35
1,1,Computing,Computer Science,3.02,81.6,12,0,70.1,90.5,83.8,no,yes,yes,yes,5,2.66
2,1,Science,Applied Science,3.04,90.6,18,0,100.0,72.3,76.8,yes,yes,yes,no,3,2.74
3,1,Management,Accounting,2.48,88.9,14,0,88.8,61.7,71.9,yes,yes,yes,no,3,1.81
1,2,Humanities,Social Sciences,2.7,80.8,7,0,73.3,80.8,73.2,no,yes,yes,no,4,1.95
4,1,Computing,Information Technology,2.45,89.0,14,0,97.8,95.0,100.0,no,yes,yes,no,4,2.57
3,1,Humanities,Languages,1.94,74.3,12,0,84.8,83.9,95.5,yes,yes,yes,no,2,2.39
4,1,Management,Accounting,2.36,72.8,11,1,64.8,91.7,73.7,yes,yes,yes,no,4,1.73
2,2,Engineering,Engineering,2.04,89.0,2,0,71.0,83.0,90.6,yes,yes,yes,no,3,1.16
2,2,Computing,Information Technology,2.18,63.0,10,0,66.9,85.4,68.9,yes,yes,yes,no,3,2.01
2,1,Engineering,Engineering,2.92,86.7,17,0,98.9,95.0,93.4,yes,yes,yes,no,2,2.48
4,1,Humanities,Social Sciences,2.39,75.7,8,0,66.3,45.1,65.5,yes,yes,no,yes,4,1.84
1,1,Humanities,Languages,2.92,84.9,18,0,88.5,95.0,100.0,yes,yes,yes,no,2,2.86
4,1,Humanities,Social Sciences,3.21,86.3,19,0,74.9,95.0,80.9,no,yes,yes,yes,4,2.73
4,1,Engineering,Engineering,3.01,76.8,2,1,59.7,95.0,80.8,no,no,limited,no,4,2.17
2,1,Science,Applied Science,3.61,94.6,13,0,72.5,90.3,95.4,yes,yes,limited,yes,3,3.85
1,2,Engineering,Engineering,2.58,97.8,11,0,87.6,74.2,93.3,no,yes,yes,no,5,2.6
3,1,Computing,Information Technology,2.72,94.5,15,1,67.6,90.9,78.8,yes,yes,yes,no,4,2.0
3,1,Computing,Computer Science,1.62,72.1,8,0,72.7,42.1,60.7,yes,yes,limited,no,4,1.17
2,1,Engineering,Engineering,1.38,60.0,15,0,100.0,68.5,56.2,no,yes,yes,yes,3,2.5
4,2,Engineering,Engineering,2.48,81.1,6,1,53.9,65.8,79.4,no,yes,yes,no,4,1.96
2,1,Science,Biological Science,2.99,76.9,10,0,73.6,81.1,78.4,yes,yes,yes,yes,2,2.05
1,2,Science,Biological Science,1.93,78.2,5,0,63.2,66.0,89.1,no,yes,limited,no,4,1.97
3,1,Engineering,Engineering,3.03,80.8,2,0,89.8,69.3,78.4,yes,yes,yes,no,3,2.28
1,2,Computing,Computer Science,3.07,82.5,13,0,93.7,80.0,90.6,yes,yes,yes,no,3,3.6
3,1,Humanities,Languages,3.26,95.1,14,0,90.3,95.0,86.4,no,yes,yes,no,4,2.86
3,1,Science,Applied Science,2.34,65.8,14,1,92.5,80.0,39.2,yes,yes,yes,no,3,2.88
4,2,Computing,Computer Science,2.54,84.0,13,0,74.1,73.5,59.5,yes,yes,yes,no,1,2.58
1,1,Humanities,Languages,1.85,100.0,10,1,78.7,69.3,70.0,yes,no,limited,no,5,2.23
3,1,Management,Accounting,3.42,100.0,18,0,94.4,95.0,73.3,yes,no,yes,no,3,3.52
2,1,Computing,Computer Science,3.49,93.1,7,0,87.1,87.4,92.2,no,yes,yes,no,5,3.01
4,1,Humanities,Languages,1.82,90.0,14,0,100.0,80.8,62.1,yes,yes,yes,no,4,3.04
2,2,Humanities,Languages,1.97,90.1,11,0,91.4,69.3,80.4,yes,no,yes,no,4,1.68
2,2,Management,Business Management,2.36,86.8,19,0,100.0,95.0,72.0,yes,no,no,no,3,2.99
1,1,Humanities,Social Sciences,2.49,81.0,18,1,99.1,86.3,64.4,yes,yes,yes,no,3,2.26
4,2,Humanities,Languages,2.26,91.6,2,0,61.0,75.4,75.2,yes,yes,yes,no,2,1.88
4,1,Engineering,Engineering,2.58,78.8,10,0,88.3,95.0,68.2,yes,yes,yes,yes,4,2.78
1,1,Management,Accounting,2.33,91.5,10,0,81.7,58.3,83.6,no,yes,limited,no,5,2.73
3,1,Management,Accounting,2.86,84.4,14,1,72.7,95.0,93.6,no,no,yes,no,5,2.51
1,1,Computing,Computer Science,2.43,70.4,11,0,82.9,83.0,77.9,yes,yes,yes,no,4,1.89
4,2,Management,Accounting,2.1,100.0,11,2,76.0,77.5,90.2,no,yes,yes,no,2,1.64
1,1,Engineering,Engineering,3.33,95.6,17,0,88.5,95.0,95.2,yes,yes,yes,no,3,3.02
1,1,Management,Accounting,2.34,92.0,15,1,98.2,76.9,78.6,yes,no,yes,no,4,1.85
2,2,Management,Accounting,3.11,100.0,9,0,84.1,74.1,100.0,yes,yes,yes,no,3,2.45
1,1,Engineering,Engineering,2.7,95.9,9,1,91.7,90.3,97.7,yes,yes,yes,no,4,2.49
4,1,Engineering,Engineering,1.74,99.5,12,0,66.5,67.4,90.1,yes,yes,yes,no,3,1.99
3,2,Management,Accounting,2.65,68.2,16,1,89.1,85.9,85.3,yes,no,yes,no,3,3.07
2,2,Humanities,Social Sciences,2.8,87.4,11,1,79.5,95.0,89.4,yes,yes,yes,no,2,2.74
3,1,Science,Applied Science,2.92,98.3,19,0,100.0,91.6,94.8,no,yes,yes,no,4,3.12
3,1,Management,Business Management,2.82,98.2,14,0,63.9,79.2,80.3,yes,no,yes,no,3,1.82
1,1,Humanities,Social Sciences,3.34,91.1,16,1,95.1,95.0,81.4,yes,yes,limited,no,5,2.82
2,1,Computing,Information Technology,2.74,89.5,5,0,82.2,72.7,67.7,yes,no,yes,no,4,2.74
3,1,Science,Applied Science,2.8,100.0,9,0,82.8,95.0,100.0,yes,yes,yes,no,4,3.51
3,2,Computing,Computer Science,2.87,91.6,16,0,85.3,80.5,97.0,yes,yes,yes,no,4,3.24
4,2,Management,Accounting,2.79,97.7,20,0,93.4,94.6,100.0,yes,yes,yes,no,4,3.35
2,2,Humanities,Languages,2.78,68.5,2,0,70.2,95.0,48.3,yes,yes,no,no,4,2.1
2,2,Computing,Computer Science,2.69,92.1,11,0,74.5,85.1,90.9,yes,no,yes,no,4,2.25
1,2,Humanities,Languages,2.67,75.3,5,0,75.2,95.0,78.0,yes,yes,yes,no,3,2.92
1,2,Engineering,Engineering,3.12,94.0,10,0,61.4,84.0,83.4,yes,yes,yes,no,4,1.73
4,2,Humanities,Languages,2.23,77.9,16,0,93.5,58.6,58.2,yes,yes,yes,yes,5,2.92
1,1,Engineering,Engineering,2.58,83.2,7,0,60.7,83.7,91.3,yes,yes,yes,no,4,2.32
1,1,Engineering,Engineering,2.67,75.5,7,0,81.3,86.5,81.2,yes,yes,yes,no,5,2.88
2,1,Computing,Information Technology,2.37,74.4,9,0,80.9,95.0,71.5,yes,yes,no,yes,4,2.27
3,1,Management,Business Management,3.37,87.1,4,0,70.9,64.2,67.0,yes,yes,yes,no,3,2.63
4,2,Science,Biological Science,3.15,82.0,7,0,67.5,95.0,67.6,no,yes,yes,no,4,3.15
1,1,Engineering,Engineering,2.7,93.8,15,0,96.6,88.6,73.3,yes,yes,limited,yes,3,2.66
3,2,Computing,Computer Science,2.14,79.3,8,1,79.2,84.0,80.8,no,no,yes,no,3,2.1
3,1,Science,Biological Science,2.27,76.0,12,0,98.2,93.1,77.4,yes,yes,yes,no,3,3.39
2,1,Science,Applied Science,3.6,82.5,16,0,92.2,85.9,82.5,yes,yes,yes,yes,2,2.96
1,1,Management,Accounting,3.06,88.4,14,0,90.1,79.3,76.0,yes,no,limited,no,5,2.45
1,1,Management,Business Management,3.0,85.4,16,0,77.2,72.8,71.8,no,yes,yes,no,3,2.79
3,2,Computing,Computer Science,1.96,81.3,7,0,88.2,57.6,73.8,yes,yes,yes,yes,4,2.42
1,1,Humanities,Languages,3.22,86.1,14,0,86.5,90.7,89.6,no,yes,yes,no,5,2.49
4,1,Engineering,Engineering,1.44,65.6,12,0,75.9,61.0,59.8,yes,yes,yes,no,5,1.95
3,2,Management,Business Management,3.21,91.4,17,0,100.0,83.5,89.5,no,no,yes,no,3,3.21
4,1,Computing,Computer Science,3.01,67.8,11,0,85.6,79.1,82.5,no,yes,yes,no,4,2.08
1,2,Engineering,Engineering,2.41,78.3,2,1,64.1,71.6,68.8,yes,yes,yes,no,3,0.88
3,2,Computing,Information Technology,3.29,77.7,15,0,99.6,76.6,85.6,yes,yes,limited,yes,5,2.69
1,2,Science,Applied Science,2.38,82.3,14,0,92.6,95.0,88.6,yes,yes,yes,no,5,3.11
4,1,Humanities,Social Sciences,2.69,81.5,15,0,97.9,85.0,68.5,no,yes,yes,no,4,3.23
4,1,Computing,Computer Science,2.26,83.5,14,0,86.2,81.4,55.9,yes,yes,yes,no,4,2.37
3,1,Management,Accounting,3.23,100.0,15,0,84.7,95.0,97.1,no,no,yes,no,5,3.3
1,1,Humanities,Social Sciences,1.99,75.6,8,0,76.3,47.2,73.1,no,yes,yes,no,3,1.39
1,2,Engineering,Engineering,2.13,64.6,4,0,63.7,80.0,56.3,yes,yes,yes,no,1,1.35
2,2,Engineering,Engineering,1.72,76.8,11,0,68.6,53.2,62.3,yes,yes,yes,no,5,1.33
4,1,Management,Accounting,2.32,90.8,13,0,66.3,66.6,94.3,yes,yes,limited,no,2,2.84
3,2,Management,Accounting,2.54,70.4,10,0,91.3,83.0,80.2,yes,yes,limited,no,3,2.41
3,2,Science,Biological Science,1.85,93.3,21,3,100.0,75.5,89.5,yes,yes,yes,yes,2,2.04
3,1,Computing,Computer Science,2.41,90.9,9,0,59.5,87.8,100.0,yes,yes,limited,no,5,2.54
3,2,Management,Business Management,1.7,66.2,4,0,95.8,84.6,38.5,yes,yes,limited,no,5,2.61
4,2,Engineering,Engineering,3.19,76.5,2,0,62.0,92.2,83.2,yes,no,yes,no,2,2.68
2,2,Engineering,Engineering,2.71,77.6,7,0,75.0,92.7,85.6,yes,yes,limited,no,3,2.27
2,2,Science,Biological Science,2.88,83.2,20,0,82.6,95.0,61.5,no,no,yes,no,2,2.67
2,2,Humanities,Languages,2.29,88.8,12,0,79.3,61.4,72.7,yes,no,yes,no,3,2.85
2,2,Engineering,Engineering,1.94,87.3,13,0,80.5,88.1,72.5,no,yes,yes,yes,2,2.52
4,2,Science,Applied Science,2.26,86.5,8,0,89.4,56.5,92.6,yes,no,yes,yes,4,2.09
2,2,Engineering,Engineering,3.68,95.7,11,0,67.2,95.0,100.0,yes,yes,limited,yes,3,3.13
1,2,Computing,Computer Science,2.95,84.4,13,0,92.2,95.0,80.4,yes,yes,yes,no,5,2.86
1,1,Engineering,Engineering,3.05,100.0,18,0,100.0,87.7,88.1,yes,yes,no,no,3,2.56
1,1,Science,Applied Science,3.17,93.7,3,0,77.2,72.9,81.8,no,yes,yes,no,2,2.22
1,2,Computing,Computer Science,2.3,84.8,10,1,79.2,95.0,80.3,no,no,limited,no,4,1.92
3,2,Management,Accounting,3.31,77.1,5,0,56.3,66.4,92.1,no,yes,yes,yes,5,1.93
2,1,Engineering,Engineering,3.14,87.2,19,0,100.0,95.0,79.4,yes,no,yes,no,2,3.93
1,1,Science,Applied Science,2.47,66.0,11,0,60.7,83.1,66.9,yes,yes,yes,yes,4,2.19
2,2,Humanities,Languages,2.87,75.9,12,0,77.6,73.7,74.1,no,yes,limited,no,2,1.88
3,2,Management,Business Management,2.18,76.4,18,0,79.3,69.5,70.8,yes,yes,yes,no,4,1.97
2,1,Engineering,Engineering,3.03,86.2,10,0,81.0,76.9,70.9,yes,yes,yes,no,4,2.82
3,2,Humanities,Social Sciences,2.88,95.7,11,0,84.9,88.6,81.9,no,yes,yes,yes,4,3.07
3,1,Engineering,Engineering,2.04,65.3,9,0,86.1,95.0,55.9,yes,yes,yes,no,3,1.62
1,1,Engineering,Engineering,2.34,81.0,15,0,85.8,68.1,80.7,yes,yes,yes,no,4,1.71
1,1,Engineering,Engineering,3.13,92.2,14,0,69.9,95.0,93.7,yes,yes,yes,no,3,3.19
1,1,Humanities,Social Sciences,3.24,69.2,2,0,53.4,78.0,64.8,no,no,yes,no,5,2.54
4,2,Management,Accounting,1.89,66.7,15,1,83.7,69.9,59.0,yes,yes,yes,yes,2,1.99
